name,country,entity_type,iso,region,state,raw_commitment,ghg_reduction_target_type,percent_reduction,target_year,baseline_year,data_source
"Albany, NY",United States of America,City,USA,North America, NY,"2035 - Achieve 100% clean, renewable energy",Renewable Energy,,2035,,ClimateMayors
"Albany, NY",United States of America,City,USA,North America, NY,2020 - Achieve 20% energy reduction in municipal buildings,GHG emission reduction target:Local Government,20,2020,,ClimateMayors
"Albany, NY",United States of America,City,USA,North America, NY,2030 - Divert 65% of waste from landfill,Waste Reduction,65,2030,,ClimateMayors
"Albany, NY",United States of America,City,USA,North America, NY,2030 - Reduce CO2 emissions from wastewater and water treatment by 10%,GHG emission reduction target:Community,10,2030,,ClimateMayors
"Ann Arbor, MI",United States of America,City,USA,North America, MI,2025: reduce GHGs 25% from 2000 levels,GHG emission reduction target:Community,25,2025,2000,ClimateMayors
"Ann Arbor, MI",United States of America,City,USA,North America, MI,2050: reduce GHGs 90% from 2000 levels,GHG emission reduction target:Community,90,2050,2000,ClimateMayors
"Ashville, NC",United States of America,City,USA,North America, NC,80% below 2002 GHG levels by 2050,GHG emission reduction target:Local Government,80,2050,2002,ClimateMayors
"Ashville, NC",United States of America,City,USA,North America, NC,"4% Municipal carbon reductions - yearly (1,114 Metric Tons/Year)",GHG emission reduction target:Local Government,4,,,ClimateMayors
"Ashville, NC",United States of America,City,USA,North America, NC,50% Waste reduction goal,Waste Reduction,50,,,ClimateMayors
"Ashville, NC",United States of America,City,USA,North America, NC,Food Policy Action Plan,,,,,ClimateMayors
"Ashville, NC",United States of America,City,USA,North America, NC,Presently being created through the Energy Innovation Task Force to prevent Duke Energy Progress’ peaker unit from being built. - IN  PROGRESS ,, ,,,ClimateMayors
"Aspen, CO",United States of America,City,USA,North America, CO,30% by 2010 and 80% by 2050 below 2004 GHG baseline,GHG emission reduction target:Community,30,2010,2004,ClimateMayors
"Aspen, CO",United States of America,City,USA,North America, CO,30% by 2010 and 80% by 2050 below 2004 GHG baseline,GHG emission reduction target:Community,80,2050,2004,ClimateMayors
